No,Latency (s)
1,0.08432984352111816
2,0.08776187896728516
3,0.08394598960876465
4,0.08167076110839844
5,0.10577988624572754
6,0.07173585891723633
7,0.07472372055053711
8,0.07422113418579102
9,0.07259202003479004
10,0.07278800010681152
11,0.0735471248626709
12,0.07401394844055176
13,0.07877612113952637
14,0.08098101615905762
15,0.07315683364868164
16,0.07464122772216797
17,0.08202695846557617
18,0.08264422416687012
19,0.09032106399536133
20,0.07909989356994629
21,0.08225584030151367
22,0.08304309844970703
23,0.07463979721069336
24,0.07511615753173828
25,0.08095312118530273
26,0.10174798965454102
27,0.09546971321105957
28,0.08254003524780273
29,0.08166193962097168
30,0.08010292053222656
31,0.08061099052429199
32,0.07165789604187012
33,0.0727691650390625
34,0.0705862045288086
35,0.0689539909362793
36,0.0704050064086914
37,0.07811093330383301
38,0.0706319808959961
39,0.0725240707397461
40,0.07399201393127441
41,0.07430720329284668
42,0.07213902473449707
43,0.072235107421875
44,0.07039117813110352
45,0.0710289478302002
46,0.0678720474243164
47,0.07358098030090332
48,0.07266998291015625
49,0.07304096221923828
50,0.0730140209197998
51,0.07309269905090332
52,0.07693982124328613
53,0.07222509384155273
54,0.0743098258972168
55,0.07114696502685547
56,0.0792388916015625
57,0.07684206962585449
58,0.07365298271179199
59,0.10542583465576172
60,0.08378434181213379
61,0.08429217338562012
62,0.07269597053527832
63,0.06808781623840332
64,0.07056307792663574
65,0.07208609580993652
66,0.06967306137084961
67,0.07083392143249512
68,0.07932329177856445
69,0.07146906852722168
70,0.0845339298248291
71,0.08751893043518066
72,0.07364511489868164
73,0.07834887504577637
74,0.07186198234558105
75,0.06930398941040039
76,0.08400487899780273
77,0.07837605476379395
78,0.09907293319702148
79,0.08344817161560059
80,0.11179590225219727
81,0.07520103454589844
82,0.09413981437683105
83,0.0771780014038086
84,0.07421636581420898
85,0.07059192657470703
86,0.1025552749633789
87,0.07004690170288086
88,0.0909569263458252
89,0.0962986946105957
90,0.08386802673339844
91,0.09941506385803223
92,0.10476803779602051
93,0.08457708358764648
94,0.09127116203308105
95,0.0736081600189209
96,0.07142305374145508
97,0.07722091674804688
98,0.07458305358886719
99,0.06790995597839355
100,0.07723212242126465
